Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,ATLAS-3717,13295819,[Business Metadata] businessmetadata is misplelled as businessmetata in entity rest calls,umesh.padashetty,umesh.padashetty,Blocker,Resolved,Fixed,02/Apr/20 14:49,16/Jul/20 14:52,
Bug,ATLAS-3804,13306362,violates a uniqueness constraint [Referenceable.__u_qualifiedName__typeName],,wzxwf,Blocker,Closed,Fixed,21/May/20 03:57,25/May/20 01:39,
Bug,ATLAS-3754,13300775,System/Business Attributes (like homeId) not being saved,,bolke,Blocker,Open,,24/Apr/20 10:36,27/Apr/20 12:14,
Bug,ATLAS-3709,13295260,[Business Metadata] Issues with quick search/suggestions in conjunction with Business Metadata attributes,mandar_va,umesh.padashetty,Blocker,Resolved,Fixed,31/Mar/20 13:27,15/Apr/20 19:53,
Bug,ATLAS-3003,13205955,Hard Delete in Apache Atlas,,abhi63269,Blocker,Open,,21/Dec/18 12:29,07/Jan/20 09:42,
Bug,ATLAS-3571,13275841,"When I register Atlas Hook in Hbase-site.xml, java.lang.ClassCastException come out",,qingyu,Blocker,Open,,21/Dec/19 02:59,21/Dec/19 02:59,
Bug,ATLAS-3553,13272989,Integrity issue: Recreated deleted (propagated) classification has same entities,,bolke,Blocker,Open,,08/Dec/19 08:57,18/Dec/19 09:50,
Bug,ATLAS-3372,13250789,Failed to build atlas-dashboardv2 caused by too low node version,kevalbhatt,sjq1992,Blocker,Resolved,Cannot Reproduce,14/Aug/19 12:49,01/Nov/19 12:53,
Bug,ATLAS-3499,13265021,Partitionkeys was deleted when import hive_table's metadata repeatly,,sjq1992,Blocker,Open,,29/Oct/19 12:36,29/Oct/19 12:48,
Bug,ATLAS-3428,13259220,"When importing hive_meta ,has one error",,ningshaochi,Blocker,Open,,27/Sep/19 09:24,27/Sep/19 09:24,
Bug,ATLAS-2388,13132651,Disabled Unit Test: InMemoryJAASConfigurationTest.java:31,,grahamwallis,Blocker,Open,,22/Jan/18 11:22,19/Jun/19 09:07,
Bug,ATLAS-3189,13231305,Issue with Deletes,,ayushmnnit,Blocker,Open,,02/May/19 16:30,03/Jun/19 10:37,
Bug,ATLAS-3117,13226434,Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.7.0:compile (default-compile) on project hbase-bridge-shim: Compilation failure,,ramjammigumpula,Blocker,Resolved,Won't Fix,05/Apr/19 20:23,10/Apr/19 06:49,
Bug,ATLAS-3011,13206457,Failed to execute goal on project atlas-graphdb-janus,,dengjade,Blocker,Open,,26/Dec/18 12:36,24/Jan/19 11:33,
Bug,ATLAS-3022,13207706,Atlas deployment in Kubernetes and configure that to be used in Hadoop cluster,,AbhishekDutta,Blocker,Open,,04/Jan/19 15:47,09/Jan/19 18:51,
Bug,ATLAS-2997,13204624,Documentation and examples on Apache Atlas constraints,,abhi63269,Blocker,Open,,15/Dec/18 06:02,15/Dec/18 06:02,
Bug,ATLAS-2203,13108551,Regression Atlas Knox Proxy  : j_spring_security_check not found during login,,sharmadhas,Blocker,Resolved,Resolved,11/Oct/17 10:20,26/Sep/18 10:06,
Bug,ATLAS-2726,13162781,Data Migration: Import: Data with Tags Not Searchable via Advanced Search,amestry,amestry,Blocker,Resolved,Fixed,30/May/18 03:51,30/May/18 06:21,30/May/18 00:00
Bug,ATLAS-2710,13160846,Basic search with entity-type and classification criteria doesn't return deleted entities,madhan,sharmadhas,Blocker,Resolved,Fixed,21/May/18 22:47,22/May/18 00:16,
Bug,ATLAS-1968,13088711,Export/Import -  Exception thrown when Import fired with zip file found on server,amestry,sharmadhas,Blocker,Resolved,Fixed,20/Jul/17 10:52,17/May/18 23:04,
Bug,ATLAS-1292,13020658,Atlas webapp Integration Tests failing ,apoorvnaik,suma.shivaprasad,Blocker,Resolved,Fixed,15/Nov/16 00:35,17/May/18 15:49,
Bug,ATLAS-405,12923217,UI: Lineage is broken seemingly if there are more than one input Processes creating a Dataset,darshankumar89,yhemanth,Blocker,Resolved,Fixed,19/Dec/15 11:13,17/May/18 15:03,
Bug,ATLAS-1612,13047310,Regression: DSL search using a non-unique attribute of user-defined types results in empty response,svimal2106,ayubpathan,Blocker,Resolved,Not A Problem,01/Mar/17 13:29,17/May/18 05:48,
Bug,ATLAS-1610,13047291,Regression: GUID order in the entity create response is not returned in the expected order(i.e; creation order).,sarath,ayubpathan,Blocker,Resolved,Fixed,01/Mar/17 12:26,17/May/18 05:47,
Bug,ATLAS-1909,13084215,"Import/Export : Exception while using ""transforms"" option during import",amestry,sharmadhas,Blocker,Resolved,Fixed,03/Jul/17 11:05,17/May/18 05:14,
Bug,ATLAS-2007,13091010,Regression : Storm model not registered in Atlas due to recent changes,sarath,sharmadhas,Blocker,Resolved,Fixed,29/Jul/17 20:19,17/May/18 03:40,
Bug,ATLAS-2114,13099837,Regression : Type Update using V1 APIs,sarath,sharmadhas,Blocker,Resolved,Fixed,05/Sep/17 13:30,17/May/18 03:35,
Bug,ATLAS-2180,13105356,Regression : Hive hook is broken,apoorvnaik,sharmadhas,Blocker,Resolved,Fixed,27/Sep/17 09:45,17/May/18 01:41,
Bug,ATLAS-2408,13132704,Update to Integration Test: EntityV2JerseyResourceIT.java:309,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:35,16/May/18 23:45,
Bug,ATLAS-2407,13132702,Disabled Integration Test: EntityV2JerseyResourceIT.java:290,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:34,16/May/18 23:44,
Bug,ATLAS-2405,13132697,Disabled Integration Test: EntityJerseyResourceIT.java:184,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:31,16/May/18 23:42,
Bug,ATLAS-2394,13132684,Disabled Unit Test: AtlasEntityStoreV1Test.java:622,,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:22,16/May/18 23:39,
Bug,ATLAS-2391,13132655,Disabled Unit Test: InMemoryJAASConfigurationTest.java:73 ,,grahamwallis,Blocker,Resolved,Duplicate,22/Jan/18 11:25,16/May/18 23:36,
Bug,ATLAS-2390,13132654,Disabled Unit Test: InMemoryJAASConfigurationTest.java:55,,grahamwallis,Blocker,Resolved,Duplicate,22/Jan/18 11:24,16/May/18 23:36,
Bug,ATLAS-2389,13132652,Disabled Unit Test: InMemoryJAASConfigurationTest.java:41,,grahamwallis,Blocker,Resolved,Duplicate,22/Jan/18 11:23,16/May/18 23:36,
Bug,ATLAS-2386,13132649,Disabled Integration Test: StormAtlasHookIT.java:39,,grahamwallis,Blocker,Open,,22/Jan/18 11:20,16/May/18 23:34,
Bug,ATLAS-2387,13132650,Disabled Integration Test: StormAtlasHookIT.java:74,,grahamwallis,Blocker,Resolved,Duplicate,22/Jan/18 11:21,16/May/18 23:34,
Bug,ATLAS-2381,13132643,Disabled Integration Test: HiveHookIT.java:196,,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 11:13,16/May/18 23:33,
Bug,ATLAS-2385,13132648,Disabled Integration Test: HiveHookIT.java:1111 ,,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 11:19,16/May/18 23:32,
Bug,ATLAS-2384,13132647,Disabled Integration Test: HiveHookIT.java:967,,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 11:17,16/May/18 23:31,
Bug,ATLAS-2382,13132644,Disabled Integration Test: HiveHookIT.java:662,,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 11:14,16/May/18 23:30,
Bug,ATLAS-2399,13132690,Disabled Unit Test: RestUtilsTest.java:76,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:27,02/May/18 04:27,
Bug,ATLAS-2398,13132689,Disabled Unit Test: RestUtilsTest.java:59,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:26,02/May/18 04:27,
Bug,ATLAS-2380,13132640,Disabled Unit Test: HiveLiteralRewriterTest:43,amestry,grahamwallis,Blocker,Resolved,Invalid,22/Jan/18 11:11,01/May/18 22:58,
Bug,ATLAS-2379,13132639,Disabled Unit Test: HiveLiteralRewriterTest.java:29,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 11:10,01/May/18 22:57,
Bug,ATLAS-2413,13132709,Disabled Integration Test: MetadataDiscoveryJerseyResourceIT.java:85,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:39,01/May/18 22:52,
Bug,ATLAS-2414,13132710,Redundant Integration Test: MetadataDiscoveryJerseyResourceIT.java:144,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:39,01/May/18 22:52,
Bug,ATLAS-2415,13132711,Disabled Integration Test: MetadataDiscoveryJerseyResourceIT.java:161,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:40,01/May/18 22:51,
Bug,ATLAS-2416,13132714,Disabled Integration Test: MetadataDiscoveryJerseyResourceIT.java:177 ,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:41,01/May/18 22:51,
Bug,ATLAS-2417,13132715,Disabled Integration Test: MetadataDiscoveryJerseyResourceIT.java:191,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:41,01/May/18 22:51,
Bug,ATLAS-2402,13132693,Disabled Integration Test: EntityDiscoveryJerseyResourceIT.java:78,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:30,01/May/18 22:51,
Bug,ATLAS-2403,13132694,Disabled Integration Test: EntityDiscoveryJerseyResourceIT.java:119,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:30,01/May/18 22:50,
Bug,ATLAS-2404,13132695,Disabled Integration Test: EntityDiscoveryJerseyResourceIT.java:150,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:31,01/May/18 22:50,
Bug,ATLAS-2412,13132708,Disabled Integration Test: MetadataDiscoveryJerseyResourceIT.java:63,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:38,01/May/18 22:50,
Bug,ATLAS-2401,13132692,Disabled Integration Test: EntityDiscoveryJerseyResourceIT.java:56,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:29,01/May/18 22:50,
Bug,ATLAS-2406,13132699,Disabled Integration Test: EntityJerseyResourceIT.java:378,amestry,grahamwallis,Blocker,Open,,22/Jan/18 13:32,01/May/18 21:02,
Bug,ATLAS-2592,13154419,Storm atlas hook fails with NPE,ruchi_solani,ruchi_solani,Blocker,Resolved,Fixed,23/Apr/18 08:57,24/Apr/18 00:31,
Bug,ATLAS-637,12956118,"Build fails (jenkins, local)",,jonesn,Blocker,Closed,Cannot Reproduce,05/Apr/16 10:46,23/Apr/18 09:55,
Bug,ATLAS-2496,13144254,Atlas build failing due npm ERROR on master,kevalbhatt,nixon,Blocker,Resolved,Fixed,12/Mar/18 10:03,12/Mar/18 12:01,
Bug,ATLAS-2397,13132688,Disabled Unit Test: UserProfileServiceTest.java:195,amestry,grahamwallis,Blocker,Resolved,Fixed,22/Jan/18 13:26,08/Mar/18 06:03,
Bug,ATLAS-2400,13132691,Disabled Unit Test: AtlasAuthenticationKerberosFilterTest.java:74,,grahamwallis,Blocker,Open,,22/Jan/18 13:28,22/Jan/18 13:28,
Bug,ATLAS-2396,13132687,Disabled Unit Test: AtlasRelationshipStoreV1Test.java:287,,grahamwallis,Blocker,Open,,22/Jan/18 13:25,22/Jan/18 13:25,
Bug,ATLAS-2395,13132686,Disabled Unit Test: AtlasEntityStoreV1Test.java:636,,grahamwallis,Blocker,Open,,22/Jan/18 13:23,22/Jan/18 13:23,
Bug,ATLAS-2393,13132657,Missing Unit Test: AtlasTypeDefGraphStoreTest.java:351,,grahamwallis,Blocker,Open,,22/Jan/18 11:29,22/Jan/18 11:29,
Bug,ATLAS-2392,13132656,Disabled Unit Test: AtlasTypeDefGraphStoreTest.java:268,,grahamwallis,Blocker,Open,,22/Jan/18 11:27,22/Jan/18 11:27,
Bug,ATLAS-2383,13132646,Disabled Integraton Test: HiveHookIT.java:720,,grahamwallis,Blocker,Open,,22/Jan/18 11:16,22/Jan/18 11:16,
Bug,ATLAS-2284,13121183,"Import hive fails with ""java.lang.NoClassDefFoundError: com/sun/jersey/multipart/BodyPart""",nixon,sharmadhas,Blocker,Resolved,Fixed,28/Nov/17 04:41,28/Nov/17 16:11,
Bug,ATLAS-2199,13108237,DeadLock in atlas while producing metadata with hive view > 300 cols.,,ayubpathan,Blocker,Resolved,Incomplete,10/Oct/17 10:03,11/Oct/17 22:29,
Bug,ATLAS-2198,13108229,HiveHook fails with OOM when hive view with 500 columns are created.,apoorvnaik,ayubpathan,Blocker,Resolved,Fixed,10/Oct/17 09:26,11/Oct/17 05:29,
Bug,ATLAS-2186,13106687,Atlas not responding for long time after startup,amestry,ayubpathan,Blocker,Resolved,Fixed,03/Oct/17 13:00,04/Oct/17 21:29,
Bug,ATLAS-2190,13106916,"Remove duplicate dependency blocks with different versions, resulting in atlas startup failure with signature mismatch exception",ayubpathan,ayubpathan,Blocker,Resolved,Fixed,04/Oct/17 11:32,04/Oct/17 18:08,
Bug,ATLAS-2165,13104201,Limit set to 0 while executing saved query hence no results are fetched.,,sharmadhas,Blocker,Resolved,Invalid,22/Sep/17 07:22,25/Sep/17 05:37,
Bug,ATLAS-2129,13101234,Atlas shutdown during progress of bulk import throws ConcurrentModificationException,amestry,sharmadhas,Blocker,Resolved,Fixed,11/Sep/17 11:13,15/Sep/17 18:26,
Bug,ATLAS-2128,13101209,UI Regression : DSL Results pagination doesn't spawn more than 2 pages,kevalbhatt,sharmadhas,Blocker,Resolved,Fixed,11/Sep/17 09:42,13/Sep/17 03:30,
Bug,ATLAS-2073,13096385,UI : In search page removing tag or type from drop-down will not exclude respective filters,kevalbhatt,kevalbhatt,Blocker,Resolved,Fixed,21/Aug/17 09:43,23/Aug/17 05:52,
Bug,ATLAS-2072,13096383,UI Regression : Navigation Issues.,kevalbhatt,kevalbhatt,Blocker,Resolved,Fixed,21/Aug/17 09:37,22/Aug/17 05:37,
Bug,ATLAS-1940,13086267,Atlas server fails to initialize types on startup from graph store due to duplicate type registered.,nixon,nixon,Blocker,Resolved,Fixed,11/Jul/17 14:11,17/Jul/17 16:46,
Bug,ATLAS-1939,13086165,Export/Import Regression : NPE during import,sharmadhas,sharmadhas,Blocker,Resolved,Fixed,11/Jul/17 06:51,17/Jul/17 16:42,
Bug,ATLAS-1945,13086472,UI : Moving all plugins to fix release version,kevalbhatt,kevalbhatt,Blocker,Resolved,Fixed,12/Jul/17 05:38,12/Jul/17 11:04,
Bug,ATLAS-170,12873025,Result of search based on attributes of a Traits is not displayed correctly,,teeupdata,Blocker,Resolved,Won't Fix,16/Sep/15 16:14,01/Jun/17 03:32,
Bug,ATLAS-1619,13047601,import-hive.sh script failure,,sharmadhas,Blocker,Resolved,Cannot Reproduce,02/Mar/17 08:17,01/Jun/17 03:20,
Bug,ATLAS-1758,13067656,Data model registration fails because order keyword is used in the model.json files.,suma.shivaprasad,ayubpathan,Blocker,Resolved,Fixed,28/Apr/17 10:46,23/May/17 07:03,
Bug,ATLAS-1615,13047356,Regression: UTF8 characters are not handled properly,,ayubpathan,Blocker,Resolved,Not A Problem,01/Mar/17 15:45,28/Mar/17 07:44,
Bug,ATLAS-1644,13048483,Taxonomy API /api/atlas/v1/taxonomies is broken.,suma.shivaprasad,sharmadhas,Blocker,Resolved,Fixed,06/Mar/17 11:01,28/Mar/17 07:39,
Bug,ATLAS-1639,13048443,V1 API DSL Query not working with V2 APIs.,sarath,sharmadhas,Blocker,Resolved,Invalid,06/Mar/17 06:03,16/Mar/17 22:06,
Bug,ATLAS-1636,13048379,Hive partitions are showed as Columns in addition to hive columns in /api/atlas/entities response and in Atlas UI.,sarath,sharmadhas,Blocker,Resolved,Fixed,05/Mar/17 19:07,07/Mar/17 00:58,
Bug,ATLAS-1604,13046938,import-hive.sh fails with Class Not Found Exception.,ayubpathan,sharmadhas,Blocker,Resolved,Resolved,28/Feb/17 11:11,02/Mar/17 08:44,
Bug,ATLAS-1614,13047342,Regression: NegativeTest: Partial update REST API call to set string as float is accepted by atlas(200 OK) and float value is set as 0. Previously this was rejected by atlas.,madhan,ayubpathan,Blocker,Resolved,Fixed,01/Mar/17 14:56,02/Mar/17 07:23,
Bug,ATLAS-1572,13044528,"sqoop metadata ingest fails with ""org.apache.atlas.exception.AtlasBaseException: expected type List or Set; found org.apache.atlas.typesystem.Referenceable""",svimal2106,ayubpathan,Blocker,Resolved,Fixed,20/Feb/17 11:29,27/Feb/17 18:40,
Bug,ATLAS-1573,13044592,Regression : Full text search returns empty results for any query,apoorvnaik,sharmadhas,Blocker,Resolved,Fixed,20/Feb/17 15:59,23/Feb/17 00:55,
Bug,ATLAS-1567,13044077,"Regression: AtlasHook for falcon seems to be broken, it is not invoked when a falcon cluster entity is submitted",nixon,ayubpathan,Blocker,Resolved,Fixed,17/Feb/17 19:41,22/Feb/17 18:37,
Bug,ATLAS-1576,13044766,Regression: Hbase table entity creation fails with NPE at org.apache.atlas.repository.converters.AtlasStructFormatConverter.fromV1ToV2,madhan,ayubpathan,Blocker,Resolved,Fixed,21/Feb/17 09:11,21/Feb/17 23:03,
Bug,ATLAS-1533,13040925,"Entity creation in UI fails with ""javax.ws.rs.WebApplicationException""",kevalbhatt,sharmadhas,Blocker,Resolved,Fixed,07/Feb/17 10:27,14/Feb/17 09:04,
Bug,ATLAS-1434,13033013,Regression : Exception thrown while creating a subterm for a taxonomy term.,amestry,sharmadhas,Blocker,Resolved,Fixed,09/Jan/17 09:15,11/Jan/17 08:23,
Bug,ATLAS-1038,12991291,Multiple instances of AtlasPluginClassloader getting initialized,suma.shivaprasad,suma.shivaprasad,Blocker,Resolved,Fixed,20/Jul/16 23:49,04/Jan/17 09:29,
Bug,ATLAS-988,12986613,HiveHookIT.testInsertIntoTable is broken,svimal2106,yhemanth,Blocker,Resolved,Fixed,04/Jul/16 14:43,04/Jan/17 08:43,
Bug,ATLAS-970,12986111,Remove glyphicon from login.jsp,kevalbhatt,kevalbhatt,Blocker,Resolved,Fixed,01/Jul/16 09:09,04/Jan/17 08:40,
Bug,ATLAS-1066,12993454,Falcon fails to post entity to Atlas due to kafka exception.,madhan,sharmadhas,Blocker,Resolved,Fixed,29/Jul/16 05:49,04/Jan/17 08:24,
Bug,ATLAS-1086,12994679,Build failure in hive-bridge after security fixes in ATLAS-762,suma.shivaprasad,suma.shivaprasad,Blocker,Resolved,Fixed,03/Aug/16 19:39,04/Jan/17 08:13,
Bug,ATLAS-1199,13008166,Atlas UI not loading after fresh build due to jquery-asBreadcrumbs plugin upgrade.,kevalbhatt,nixon,Blocker,Resolved,Fixed,28/Sep/16 08:37,04/Jan/17 07:05,
Bug,ATLAS-1215,13009864,Atlas UI not working in firefox due to fix in ATLAS-1199,kevalbhatt,kevalbhatt,Blocker,Resolved,Fixed,05/Oct/16 12:43,04/Jan/17 07:03,
Bug,ATLAS-1367,13027398,"High Availability Regression : After adding another instance of Atlas server, Atlas servers on both the hosts are PASSIVE",madhan,sharmadhas,Blocker,Resolved,Fixed,12/Dec/16 09:29,17/Dec/16 00:22,
Bug,ATLAS-1348,13024738,"Regression: Creating a type fails with error 'foreignKey incompatible attribute type map<string,string>'",,ayubpathan,Blocker,Resolved,Won't Fix,01/Dec/16 11:00,06/Dec/16 20:48,
Bug,ATLAS-1302,13021293,Test compilation failure,apoorvnaik,apoorvnaik,Blocker,Closed,Fixed,16/Nov/16 22:30,21/Nov/16 06:22,
Bug,ATLAS-1290,13020522,webapp: Integration test failures while trying to create hive_table without creating a reference to hive_db,ayubpathan,ayubpathan,Blocker,Resolved,Duplicate,14/Nov/16 15:20,15/Nov/16 05:56,
Bug,ATLAS-1276,13019172,webapp test failures,ayubpathan,shwethags,Blocker,Resolved,Fixed,08/Nov/16 10:54,14/Nov/16 15:27,
Bug,ATLAS-1117,12996574,Atlas start fails on trunk,jnhagelb,shwethags,Blocker,Resolved,Fixed,11/Aug/16 09:50,11/Aug/16 19:07,
Bug,ATLAS-1106,12995781,Fix Build failure due to wrong version in graphdb/common pom,suma.shivaprasad,suma.shivaprasad,Blocker,Resolved,Fixed,08/Aug/16 23:06,08/Aug/16 23:57,
Bug,ATLAS-958,12984276,Add licenses for dashboard dependencies,kevalbhatt,shwethags,Blocker,Resolved,Fixed,28/Jun/16 07:38,30/Jun/16 13:46,
Bug,ATLAS-967,12985711,Remove unused logo file and footer.,kevalbhatt,yhemanth,Blocker,Resolved,Fixed,30/Jun/16 10:36,30/Jun/16 11:21,
Bug,ATLAS-964,12985636,Cleanup NOTICE and LICENSE,shwethags,shwethags,Blocker,Resolved,Fixed,30/Jun/16 05:40,30/Jun/16 06:42,
Bug,ATLAS-474,12937809,Server does not start if the type is updated with same super type class information,dkantor,ckrishnakumar,Blocker,Resolved,Fixed,09/Feb/16 09:41,29/Jun/16 07:15,
Bug,ATLAS-920,12981133,Lineage graph is broken when there are multiple paths from same source table,kevalbhatt,suma.shivaprasad,Blocker,Resolved,Fixed,20/Jun/16 23:18,29/Jun/16 06:25,
Bug,ATLAS-383,12920769,tests for classtype.convert() with id,suma.shivaprasad,yhemanth,Blocker,Resolved,Fixed,10/Dec/15 13:54,22/Jun/16 10:03,
Bug,ATLAS-263,12909422,Searching for a multi word trait always returns empty result,girishrp,ayubpathan,Blocker,Resolved,Fixed,31/Oct/15 15:00,22/Jun/16 10:03,
Bug,ATLAS-931,12981351,Delete entities fails when hard delete is configured,dkantor,smadugun,Blocker,Resolved,Fixed,21/Jun/16 13:37,22/Jun/16 00:51,
Bug,ATLAS-904,12979484,Hive hook fails due to session state not being set,suma.shivaprasad,suma.shivaprasad,Blocker,Resolved,Fixed,15/Jun/16 18:39,21/Jun/16 17:23,
Bug,ATLAS-725,12963617,"UI : Filter out or highlight deleted entities in search result outputs(dsl, text) , schema view, and lineage graph",kevalbhatt,suma.shivaprasad,Blocker,Resolved,Fixed,28/Apr/16 19:58,20/Jun/16 22:52,
Bug,ATLAS-888,12977409,NPE in NotificationHookConsumer,suma.shivaprasad,suma.shivaprasad,Blocker,Resolved,Fixed,09/Jun/16 21:55,20/Jun/16 05:25,
Bug,ATLAS-903,12979213,EntityNotFoundException exception is observed when an entity is deleted.,shwethags,ayubpathan,Blocker,Resolved,Won't Fix,15/Jun/16 00:47,16/Jun/16 17:36,
Bug,ATLAS-785,12969512,"Kerberized cluster: Embedded hbase fails to comeup because not keytab info is found, resulting in atlas failure.",,ayubpathan,Blocker,Resolved,Won't Fix,13/May/16 10:46,15/Jun/16 07:30,
Bug,ATLAS-761,12966013,UI: is ignoring table parameters,kevalbhatt,ayubpathan,Blocker,Resolved,Fixed,09/May/16 09:42,15/Jun/16 07:03,
Bug,ATLAS-838,12973707,hive table schema api is broken.,,ayubpathan,Blocker,Resolved,Fixed,28/May/16 18:03,14/Jun/16 05:01,
Bug,ATLAS-820,12972032,Kerberized env: Authentication failing,nixon,ayubpathan,Blocker,Resolved,Fixed,23/May/16 11:11,14/Jun/16 04:57,
Bug,ATLAS-691,12960787,Update Utilities to support authentication,,bergenholtz,Blocker,Resolved,Duplicate,21/Apr/16 15:26,14/Jun/16 04:57,
Bug,ATLAS-797,12970360,Tags are not disassociating correctly from entities,,yhemanth,Blocker,Resolved,Not A Problem,17/May/16 13:25,10/Jun/16 08:30,
Bug,ATLAS-878,12976772,"UI: Not showing details of SD, DB and COLUMNS",kevalbhatt,ayubpathan,Blocker,Resolved,Fixed,08/Jun/16 08:25,09/Jun/16 10:11,
Bug,ATLAS-841,12973988,mvn clean install of Atlas is failing python unit tests,yhemanth,yhemanth,Blocker,Resolved,Fixed,30/May/16 13:49,31/May/16 16:41,
Bug,ATLAS-839,12973708,NEW UI: lineage is broken,,ayubpathan,Blocker,Resolved,Fixed,28/May/16 18:13,31/May/16 07:04,
Bug,ATLAS-805,12970751,Quickstart is failing if run after queries to the business taxonomy API,jspeidel,yhemanth,Blocker,Resolved,Fixed,18/May/16 13:07,20/May/16 15:10,
Bug,ATLAS-689,12960226,Migrate Atlas-Storm integration to use Storm 1.0 dependencies.,svimal2106,yhemanth,Blocker,Resolved,Fixed,20/Apr/16 05:33,17/May/16 13:55,
Bug,ATLAS-759,12965831,HiveHookIT.testAlterTableChangeColumn is consistently failing on master,yhemanth,yhemanth,Blocker,Resolved,Fixed,07/May/16 14:44,09/May/16 04:54,
Bug,ATLAS-690,12960345,Read timed out exceptions when tables are imported into Atlas.,yhemanth,sharmadhas,Blocker,Resolved,Fixed,20/Apr/16 13:35,06/May/16 10:32,
Bug,ATLAS-659,12957809,atlas_start fails on Windows,dkantor,dkantor,Blocker,Resolved,Fixed,11/Apr/16 18:34,05/May/16 11:22,
Bug,ATLAS-723,12963577,JSON deserialization regression,guptaneeru,jnhagelb,Blocker,Resolved,Fixed,28/Apr/16 18:03,03/May/16 04:35,
Bug,ATLAS-628,12955735,Starting two Atlas instances at the same time causes exceptions in HA mode.,yhemanth,yhemanth,Blocker,Resolved,Fixed,04/Apr/16 11:41,20/Apr/16 20:14,
